Reference,Quantity,Value,Manufacturer,MPN,Package,Populate,Notes
C104,1,"100nF ADC filter",Murata,GRM188R71C104KA01D,0603,YES,ADC_IN4 filter
TVS15,1,AIN5 low-leakage ESD,Nexperia,"PESD3V3L1BA,115",SOD323,YES,"At connector"
R105,1,10.0k 1% AIN series,Yageo,RC0603FR-0710KL,0603,YES,AIN5 divider upper
R115,1,15.0k 1% AIN lower,Yageo,RC0603FR-0715KL,0603,YES,AIN5 divider lower
C105,1,"100nF ADC filter",Murata,GRM188R71C104KA01D,0603,YES,ADC_IN5 filter
TVS16,1,AIN6 low-leakage ESD,Nexperia,"PESD3V3L1BA,115",SOD323,YES,"At connector"
R106,1,10.0k 1% AIN series,Yageo,RC0603FR-0710KL,0603,YES,AIN6 divider upper
R116,1,15.0k 1% AIN lower,Yageo,RC0603FR-0715KL,0603,YES,AIN6 divider lower
C106,1,"100nF ADC filter",Murata,GRM188R71C104KA01D,0603,YES,ADC_IN6 filter
TVS17,1,AIN7 low-leakage ESD,Nexperia,"PESD3V3L1BA,115",SOD323,YES,"At connector"
R107,1,10.0k 1% AIN series,Yageo,RC0603FR-0710KL,0603,YES,AIN7 divider upper
R117,1,15.0k 1% AIN lower,Yageo,RC0603FR-0715KL,0603,YES,AIN7 divider lower
C107,1,"100nF ADC filter",Murata,GRM188R71C104KA01D,0603,YES,ADC_IN7 filter
TVS18,1,AIN8 low-leakage ESD,Nexperia,"PESD3V3L1BA,115",SOD323,YES,"At connector"
R108,1,10.0k 1% AIN series,Yageo,RC0603FR-0710KL,0603,YES,AIN8 divider upper
R118,1,15.0k 1% AIN lower,Yageo,RC0603FR-0715KL,0603,YES,AIN8 divider lower
C108,1,"100nF ADC filter",Murata,GRM188R71C104KA01D,0603,YES,ADC_IN8 filter

